count,shelf_x,shelf_y,x,y,z,judge
1,1.3,-0.25,1.1325,-0.45,0.34,success
2,1.3,-0.25,1.1325,-0.05,0.34,success
3,1.3,-0.25,1.2825,-0.45,0.34,success
4,1.3,-0.25,1.2825,-0.05,0.34,success
5,1.3,-0.25,1.1325,-0.45,0.885,success
6,1.3,-0.25,1.1325,-0.05,0.885,success
7,1.3,-0.25,1.2825,-0.45,0.885,error
8,1.3,-0.25,1.2825,-0.05,0.885,error
9,1.3,-0.24,1.1325,-0.44,0.34,success
10,1.3,-0.24,1.1325,-0.04,0.34,success
11,1.3,-0.24,1.2825,-0.44,0.34,success
12,1.3,-0.24,1.2825,-0.04,0.34,success
13,1.3,-0.24,1.1325,-0.44,0.885,success
14,1.3,-0.24,1.1325,-0.04,0.885,success
15,1.3,-0.24,1.2825,-0.44,0.885,error
16,1.3,-0.24,1.2825,-0.04,0.885,error
17,1.3,-0.23,1.1325,-0.43,0.34,success
18,1.3,-0.23,1.1325,-0.03,0.34,success
19,1.3,-0.23,1.2825,-0.43,0.34,success
20,1.3,-0.23,1.2825,-0.03,0.34,success
21,1.3,-0.23,1.1325,-0.43,0.885,success
22,1.3,-0.23,1.1325,-0.03,0.885,success
23,1.3,-0.23,1.2825,-0.43,0.885,error
24,1.3,-0.23,1.2825,-0.03,0.885,error
25,1.3,-0.22,1.1325,-0.42,0.34,success
26,1.3,-0.22,1.1325,-0.02,0.34,success
27,1.3,-0.22,1.2825,-0.42,0.34,success
28,1.3,-0.22,1.2825,-0.02,0.34,success
29,1.3,-0.22,1.1325,-0.42,0.885,success
30,1.3,-0.22,1.1325,-0.02,0.885,success
31,1.3,-0.22,1.2825,-0.42,0.885,error
32,1.3,-0.22,1.2825,-0.02,0.885,error
33,1.3,-0.21,1.1325,-0.41,0.34,success
34,1.3,-0.21,1.1325,-0.01,0.34,success
35,1.3,-0.21,1.2825,-0.41,0.34,success
36,1.3,-0.21,1.2825,-0.01,0.34,success
37,1.3,-0.21,1.1325,-0.41,0.885,success
38,1.3,-0.21,1.1325,-0.01,0.885,success
39,1.3,-0.21,1.2825,-0.41,0.885,error
40,1.3,-0.21,1.2825,-0.01,0.885,error
41,1.3,-0.2,1.1325,-0.4,0.34,success
42,1.3,-0.2,1.1325,0,0.34,success
43,1.3,-0.2,1.2825,-0.4,0.34,success
44,1.3,-0.2,1.2825,0,0.34,success
45,1.3,-0.2,1.1325,-0.4,0.885,success
46,1.3,-0.2,1.1325,0,0.885,success
47,1.3,-0.2,1.2825,-0.4,0.885,error
48,1.3,-0.2,1.2825,0,0.885,error
49,1.3,-0.19,1.1325,-0.39,0.34,success
50,1.3,-0.19,1.1325,0.01,0.34,success
51,1.3,-0.19,1.2825,-0.39,0.34,success
52,1.3,-0.19,1.2825,0.01,0.34,success
53,1.3,-0.19,1.1325,-0.39,0.885,success
54,1.3,-0.19,1.1325,0.01,0.885,success
55,1.3,-0.19,1.2825,-0.39,0.885,error
56,1.3,-0.19,1.2825,0.01,0.885,error
57,1.3,-0.18,1.1325,-0.38,0.34,success
58,1.3,-0.18,1.1325,0.02,0.34,success
59,1.3,-0.18,1.2825,-0.38,0.34,success
60,1.3,-0.18,1.2825,0.02,0.34,success
61,1.3,-0.18,1.1325,-0.38,0.885,success
62,1.3,-0.18,1.1325,0.02,0.885,success
63,1.3,-0.18,1.2825,-0.38,0.885,error
64,1.3,-0.18,1.2825,0.02,0.885,error
65,1.3,-0.17,1.1325,-0.37,0.34,success
66,1.3,-0.17,1.1325,0.03,0.34,success
67,1.3,-0.17,1.2825,-0.37,0.34,success
68,1.3,-0.17,1.2825,0.03,0.34,success
69,1.3,-0.17,1.1325,-0.37,0.885,success
70,1.3,-0.17,1.1325,0.03,0.885,success
71,1.3,-0.17,1.2825,-0.37,0.885,error
72,1.3,-0.17,1.2825,0.03,0.885,error
73,1.3,-0.16,1.1325,-0.36,0.34,success
74,1.3,-0.16,1.1325,0.04,0.34,success
75,1.3,-0.16,1.2825,-0.36,0.34,success
76,1.3,-0.16,1.2825,0.04,0.34,success
77,1.3,-0.16,1.1325,-0.36,0.885,success
78,1.3,-0.16,1.1325,0.04,0.885,success
79,1.3,-0.16,1.2825,-0.36,0.885,error
80,1.3,-0.16,1.2825,0.04,0.885,error
81,1.3,-0.15,1.1325,-0.35,0.34,success
82,1.3,-0.15,1.1325,0.05,0.34,success
83,1.3,-0.15,1.2825,-0.35,0.34,success
84,1.3,-0.15,1.2825,0.05,0.34,success
85,1.3,-0.15,1.1325,-0.35,0.885,success
86,1.3,-0.15,1.1325,0.05,0.885,success
87,1.3,-0.15,1.2825,-0.35,0.885,error
88,1.3,-0.15,1.2825,0.05,0.885,error
89,1.3,-0.14,1.1325,-0.34,0.34,success
90,1.3,-0.14,1.1325,0.06,0.34,success
91,1.3,-0.14,1.2825,-0.34,0.34,success
92,1.3,-0.14,1.2825,0.06,0.34,success
93,1.3,-0.14,1.1325,-0.34,0.885,success
94,1.3,-0.14,1.1325,0.06,0.885,success
95,1.3,-0.14,1.2825,-0.34,0.885,error
96,1.3,-0.14,1.2825,0.06,0.885,error
97,1.3,-0.13,1.1325,-0.33,0.34,success
98,1.3,-0.13,1.1325,0.07,0.34,success
99,1.3,-0.13,1.2825,-0.33,0.34,success
100,1.3,-0.13,1.2825,0.07,0.34,success
101,1.3,-0.13,1.1325,-0.33,0.885,success
102,1.3,-0.13,1.1325,0.07,0.885,success
103,1.3,-0.13,1.2825,-0.33,0.885,error
104,1.3,-0.13,1.2825,0.07,0.885,error
105,1.3,-0.12,1.1325,-0.32,0.34,success
106,1.3,-0.12,1.1325,0.08,0.34,success
107,1.3,-0.12,1.2825,-0.32,0.34,success
108,1.3,-0.12,1.2825,0.08,0.34,success
109,1.3,-0.12,1.1325,-0.32,0.885,success
110,1.3,-0.12,1.1325,0.08,0.885,success
111,1.3,-0.12,1.2825,-0.32,0.885,error
112,1.3,-0.12,1.2825,0.08,0.885,error
113,1.3,-0.11,1.1325,-0.31,0.34,success
114,1.3,-0.11,1.1325,0.09,0.34,success
115,1.3,-0.11,1.2825,-0.31,0.34,success
116,1.3,-0.11,1.2825,0.09,0.34,success
117,1.3,-0.11,1.1325,-0.31,0.885,success
118,1.3,-0.11,1.1325,0.09,0.885,success
119,1.3,-0.11,1.2825,-0.31,0.885,error
120,1.3,-0.11,1.2825,0.09,0.885,error
121,1.3,-0.1,1.1325,-0.3,0.34,success
122,1.3,-0.1,1.1325,0.1,0.34,success
123,1.3,-0.1,1.2825,-0.3,0.34,success
124,1.3,-0.1,1.2825,0.1,0.34,success
125,1.3,-0.1,1.1325,-0.3,0.885,success
126,1.3,-0.1,1.1325,0.1,0.885,success
127,1.3,-0.1,1.2825,-0.3,0.885,error
128,1.3,-0.1,1.2825,0.1,0.885,error
129,1.3,-0.09,1.1325,-0.29,0.34,success
130,1.3,-0.09,1.1325,0.11,0.34,success
131,1.3,-0.09,1.2825,-0.29,0.34,success
132,1.3,-0.09,1.2825,0.11,0.34,success
133,1.3,-0.09,1.1325,-0.29,0.885,success
134,1.3,-0.09,1.1325,0.11,0.885,success
135,1.3,-0.09,1.2825,-0.29,0.885,error
136,1.3,-0.09,1.2825,0.11,0.885,error
137,1.3,-0.08,1.1325,-0.28,0.34,success
138,1.3,-0.08,1.1325,0.12,0.34,success
139,1.3,-0.08,1.2825,-0.28,0.34,success
140,1.3,-0.08,1.2825,0.12,0.34,success
141,1.3,-0.08,1.1325,-0.28,0.885,success
142,1.3,-0.08,1.1325,0.12,0.885,success
143,1.3,-0.08,1.2825,-0.28,0.885,error
144,1.3,-0.08,1.2825,0.12,0.885,error
145,1.3,-0.07,1.1325,-0.27,0.34,success
146,1.3,-0.07,1.1325,0.13,0.34,success
147,1.3,-0.07,1.2825,-0.27,0.34,success
148,1.3,-0.07,1.2825,0.13,0.34,success
149,1.3,-0.07,1.1325,-0.27,0.885,success
150,1.3,-0.07,1.1325,0.13,0.885,success
151,1.3,-0.07,1.2825,-0.27,0.885,error
152,1.3,-0.07,1.2825,0.13,0.885,error
153,1.3,-0.06,1.1325,-0.26,0.34,success
154,1.3,-0.06,1.1325,0.14,0.34,success
155,1.3,-0.06,1.2825,-0.26,0.34,success
156,1.3,-0.06,1.2825,0.14,0.34,success
157,1.3,-0.06,1.1325,-0.26,0.885,success
158,1.3,-0.06,1.1325,0.14,0.885,success
159,1.3,-0.06,1.2825,-0.26,0.885,error
160,1.3,-0.06,1.2825,0.14,0.885,error
161,1.3,-0.05,1.1325,-0.25,0.34,success
162,1.3,-0.05,1.1325,0.15,0.34,success
163,1.3,-0.05,1.2825,-0.25,0.34,success
164,1.3,-0.05,1.2825,0.15,0.34,success
165,1.3,-0.05,1.1325,-0.25,0.885,success
166,1.3,-0.05,1.1325,0.15,0.885,success
167,1.3,-0.05,1.2825,-0.25,0.885,error
168,1.3,-0.05,1.2825,0.15,0.885,error
169,1.3,-0.04,1.1325,-0.24,0.34,success
170,1.3,-0.04,1.1325,0.16,0.34,success
171,1.3,-0.04,1.2825,-0.24,0.34,success
172,1.3,-0.04,1.2825,0.16,0.34,success
173,1.3,-0.04,1.1325,-0.24,0.885,success
174,1.3,-0.04,1.1325,0.16,0.885,success
175,1.3,-0.04,1.2825,-0.24,0.885,error
176,1.3,-0.04,1.2825,0.16,0.885,error
177,1.3,-0.03,1.1325,-0.23,0.34,success
178,1.3,-0.03,1.1325,0.17,0.34,success
179,1.3,-0.03,1.2825,-0.23,0.34,success
180,1.3,-0.03,1.2825,0.17,0.34,success
181,1.3,-0.03,1.1325,-0.23,0.885,success
182,1.3,-0.03,1.1325,0.17,0.885,success
183,1.3,-0.03,1.2825,-0.23,0.885,error
184,1.3,-0.03,1.2825,0.17,0.885,error
185,1.3,-0.02,1.1325,-0.22,0.34,success
186,1.3,-0.02,1.1325,0.18,0.34,success
187,1.3,-0.02,1.2825,-0.22,0.34,success
188,1.3,-0.02,1.2825,0.18,0.34,success
189,1.3,-0.02,1.1325,-0.22,0.885,success
190,1.3,-0.02,1.1325,0.18,0.885,success
191,1.3,-0.02,1.2825,-0.22,0.885,error
192,1.3,-0.02,1.2825,0.18,0.885,error
193,1.3,-0.01,1.1325,-0.21,0.34,success
194,1.3,-0.01,1.1325,0.19,0.34,success
195,1.3,-0.01,1.2825,-0.21,0.34,success
196,1.3,-0.01,1.2825,0.19,0.34,success
197,1.3,-0.01,1.1325,-0.21,0.885,success
198,1.3,-0.01,1.1325,0.19,0.885,success
199,1.3,-0.01,1.2825,-0.21,0.885,error
200,1.3,-0.01,1.2825,0.19,0.885,error
201,1.3,0,1.1325,-0.2,0.34,success
202,1.3,0,1.1325,0.2,0.34,success
203,1.3,0,1.2825,-0.2,0.34,success
204,1.3,0,1.2825,0.2,0.34,success
205,1.3,0,1.1325,-0.2,0.885,success
206,1.3,0,1.1325,0.2,0.885,success
207,1.3,0,1.2825,-0.2,0.885,error
208,1.3,0,1.2825,0.2,0.885,error
209,1.3,0.01,1.1325,-0.19,0.34,success
210,1.3,0.01,1.1325,0.21,0.34,success
211,1.3,0.01,1.2825,-0.19,0.34,success
212,1.3,0.01,1.2825,0.21,0.34,success
213,1.3,0.01,1.1325,-0.19,0.885,success
214,1.3,0.01,1.1325,0.21,0.885,success
215,1.3,0.01,1.2825,-0.19,0.885,error
216,1.3,0.01,1.2825,0.21,0.885,error
217,1.3,0.02,1.1325,-0.18,0.34,success
218,1.3,0.02,1.1325,0.22,0.34,success
219,1.3,0.02,1.2825,-0.18,0.34,success
220,1.3,0.02,1.2825,0.22,0.34,success
221,1.3,0.02,1.1325,-0.18,0.885,success
222,1.3,0.02,1.1325,0.22,0.885,success
223,1.3,0.02,1.2825,-0.18,0.885,error
224,1.3,0.02,1.2825,0.22,0.885,error
225,1.3,0.03,1.1325,-0.17,0.34,success
226,1.3,0.03,1.1325,0.23,0.34,success
227,1.3,0.03,1.2825,-0.17,0.34,success
228,1.3,0.03,1.2825,0.23,0.34,success
229,1.3,0.03,1.1325,-0.17,0.885,success
230,1.3,0.03,1.1325,0.23,0.885,success
231,1.3,0.03,1.2825,-0.17,0.885,error
232,1.3,0.03,1.2825,0.23,0.885,error
233,1.3,0.04,1.1325,-0.16,0.34,success
234,1.3,0.04,1.1325,0.24,0.34,success
235,1.3,0.04,1.2825,-0.16,0.34,success
236,1.3,0.04,1.2825,0.24,0.34,success
237,1.3,0.04,1.1325,-0.16,0.885,error
238,1.3,0.04,1.1325,0.24,0.885,error
239,1.3,0.04,1.2825,-0.16,0.885,error
240,1.3,0.04,1.2825,0.24,0.885,error
241,1.3,0.05,1.1325,-0.15,0.34,success
242,1.3,0.05,1.1325,0.25,0.34,success
243,1.3,0.05,1.2825,-0.15,0.34,success
244,1.3,0.05,1.2825,0.25,0.34,success
245,1.3,0.05,1.1325,-0.15,0.885,error
246,1.3,0.05,1.1325,0.25,0.885,error
247,1.3,0.05,1.2825,-0.15,0.885,error
248,1.3,0.05,1.2825,0.25,0.885,error
249,1.3,0.06,1.1325,-0.14,0.34,success
250,1.3,0.06,1.1325,0.26,0.34,success
251,1.3,0.06,1.2825,-0.14,0.34,success
252,1.3,0.06,1.2825,0.26,0.34,success
253,1.3,0.06,1.1325,-0.14,0.885,error
254,1.3,0.06,1.1325,0.26,0.885,error
255,1.3,0.06,1.2825,-0.14,0.885,error
256,1.3,0.06,1.2825,0.26,0.885,error
257,1.3,0.07,1.1325,-0.13,0.34,success
258,1.3,0.07,1.1325,0.27,0.34,success
259,1.3,0.07,1.2825,-0.13,0.34,success
260,1.3,0.07,1.2825,0.27,0.34,success
261,1.3,0.07,1.1325,-0.13,0.885,error
262,1.3,0.07,1.1325,0.27,0.885,error
263,1.3,0.07,1.2825,-0.13,0.885,error
264,1.3,0.07,1.2825,0.27,0.885,error
265,1.3,0.08,1.1325,-0.12,0.34,success
266,1.3,0.08,1.1325,0.28,0.34,success
267,1.3,0.08,1.2825,-0.12,0.34,success
268,1.3,0.08,1.2825,0.28,0.34,success
269,1.3,0.08,1.1325,-0.12,0.885,error
270,1.3,0.08,1.1325,0.28,0.885,error
271,1.3,0.08,1.2825,-0.12,0.885,error
272,1.3,0.08,1.2825,0.28,0.885,error
273,1.3,0.09,1.1325,-0.11,0.34,success
274,1.3,0.09,1.1325,0.29,0.34,success
275,1.3,0.09,1.2825,-0.11,0.34,success
276,1.3,0.09,1.2825,0.29,0.34,success
277,1.3,0.09,1.1325,-0.11,0.885,error
278,1.3,0.09,1.1325,0.29,0.885,error
279,1.3,0.09,1.2825,-0.11,0.885,error
280,1.3,0.09,1.2825,0.29,0.885,error
281,1.3,0.1,1.1325,-0.1,0.34,success
282,1.3,0.1,1.1325,0.3,0.34,success
283,1.3,0.1,1.2825,-0.1,0.34,success
284,1.3,0.1,1.2825,0.3,0.34,success
285,1.3,0.1,1.1325,-0.1,0.885,error
286,1.3,0.1,1.1325,0.3,0.885,error
